Split,Client,Loss,Variance,Divergence,R_k,Alpha,RMSE,MAE
0.05,Client_2,0.00996557146501573,0.00997843686491251,0.17617327214351722,0.0002672087993613391,0.0006665089668305439,0.11512797325849533,0.08343058824539185
0.05,Client_1,0.00739434006691199,0.009255744516849518,0.1476103404004659,1071.775029511515,0.9268492576504578,0.11125252395868301,0.07996691763401031
0.05,Client_1,0.005184021997425985,0.013881023041903973,0.12269162120563644,0.26318425522249494,0.0019415944684056778,0.09256955981254578,0.06908128410577774
0.05,Client_3,0.004780310422264813,0.011830510571599007,0.11876188471381154,7075.667548233343,0.9973239423259492,0.10097517818212509,0.07215394824743271
0.05,Client_2,0.00782598135987702,0.01080379169434309,0.13213140677128518,0.5065567364105105,0.0007344532056451845,0.09709235280752182,0.06818423420190811
0.05,Client_3,0.004078199079954332,0.014991608448326588,0.09646454865911178,0.627287790092082,0.1913564763875734,0.08428898453712463,0.057319168001413345
0.05,Client_2,0.004632595311572923,0.012515995651483536,0.09513544051774911,1.4248262517662955,0.33299565439392387,0.08797145634889603,0.06187606602907181
0.05,Client_1,0.004348051066810755,0.01428466197103262,0.09132346324622631,2.0311162314597135,0.4756478592185028,0.08086100220680237,0.058732081204652786
0.05,Client_3,0.0036689086840156013,0.012492993846535683,0.06522225069680385,102090.0,0.9974257105573258,0.07459664344787598,0.04884157329797745
0.05,Client_1,0.004394234835884399,0.01340228971093893,0.0665604615850108,0.19569739923454615,0.0019079994919414794,0.0721186026930809,0.05050108581781387
0.05,Client_2,0.00514981052618986,0.013448159210383892,0.07774870470166206,0.0001699474795769609,0.0006662799507327738,0.07785195857286453,0.0535091795027256
0.05,Client_1,0.003961335927135351,0.013658828102052212,0.048452169235263555,12.452113239380278,0.002124618951053082,0.06622358411550522,0.04464858025312424
0.05,Client_2,0.005519799657117114,0.014603613875806332,0.0741675305845482,0.00016993730461532176,0.0006662813465018084,0.06793252378702164,0.04293198138475418
0.05,Client_3,0.003453424523255977,0.012191944755613804,0.052513676695525646,54276.50259965243,0.9972090897024453,0.07064445316791534,0.0475788339972496
0.05,Client_3,0.003335279837025375,0.014503139071166515,0.0494767769372889,11.462401912167293,0.7964433764149357,0.062059447169303894,0.03903847187757492
0.05,Client_2,0.0037393716564586084,0.01384602952748537,0.045960888266563416,3.0351355725025315,0.19962903660716474,0.0637199804186821,0.04330362752079964
0.05,Client_1,0.0037242437902475834,0.014877883717417717,0.041621312366000245,0.030836084806268278,0.003927576977899562,0.06131352111697197,0.04085330665111542
0.05,Client_1,0.0036542693484938383,0.015920480713248253,0.04050781863874623,0.6171300386805697,0.0019143482996522203,0.05853822082281113,0.035594865679740906
0.05,Client_2,0.0049972022648890535,0.014457576908171177,0.056383478588291576,0.014954108658108839,0.0006664764457216294,0.06032222881913185,0.0385965034365654
0.05,Client_3,0.003289873372658255,0.013306592591106892,0.04189926306051867,71899.50665504481,0.9974191652546264,0.05897403880953789,0.03411488980054855
0.05,Client_3,0.0031857770330312187,0.017435716465115547,0.04926620530230658,0.6272809526106264,0.0499820777132528,0.056620582938194275,0.03455159068107605
0.05,Client_1,0.003695502881538537,0.015303926542401314,0.03213752061128616,8.142814478589354,0.06597430892381982,0.056439708918333054,0.033200617879629135
0.05,Client_2,0.003432327945114185,0.014457336626946926,0.03498169334073152,112.273873207215,0.8840436033629275,0.05689632147550583,0.03690946847200394
0.05,Client_1,0.0037133377743798963,0.017256826162338257,0.036606939642557075,0.5242812954563103,0.0019110647724532744,0.055311623960733414,0.031681958585977554
0.05,Client_3,0.003191312487752815,0.01465254183858633,0.036579504808677096,102090.0,0.9974219853622233,0.054894182831048965,0.030727598816156387
0.05,Client_2,0.005255843916046628,0.01529262401163578,0.057065801694989204,0.07090957586554147,0.0006669398653235404,0.05480572208762169,0.033958256244659424
0.05,Client_3,0.0031414025321475953,0.011196722276508808,0.0378419283245291,25608.22616931406,0.9956865147457381,0.05668116360902786,0.03060052916407585
