Alpha,Round,Client,Loss,Samples,RMSE,MAE,NRMSE,Algorithm
0.3,17,Client_2,0.0010854649778143342,14451,0.035320598632097244,0.02273789793252945,0.06499016284942627,FedNova
0.3,18,Client_1,0.001097871654033774,22407,0.03528865799307823,0.022694863379001617,0.06493139266967773,FedNova
0.3,18,Client_3,0.0010379482779604356,27939,0.0331764817237854,0.021783554926514626,0.05467905476689339,FedNova
0.3,18,Client_2,0.0010796634351463896,14451,0.039121951907873154,0.023717015981674194,0.0562451109290123,FedNova
0.3,19,Client_1,0.001136094378561274,22407,0.039093922823667526,0.023690156638622284,0.056204814463853836,FedNova
0.3,19,Client_3,0.0010712095561746715,27939,0.03315376117825508,0.0217598769813776,0.05464160814881325,FedNova
0.3,19,Client_2,0.0011194364638262117,14451,0.03526777774095535,0.022669149562716484,0.06489297747612,FedNova
0.3,20,Client_1,0.001106312426279248,22407,0.03904251009225845,0.023623110726475716,0.056130897253751755,FedNova
0.3,20,Client_3,0.0010148725905337096,27939,0.03310650214552879,0.021696314215660095,0.054563719779253006,FedNova
0.3,20,Client_2,0.0011071335016104597,14451,0.035223521292209625,0.022603724151849747,0.06481154263019562,FedNova
0.3,21,Client_1,0.0011285159484597117,22407,0.03899718448519707,0.02357008308172226,0.05606573447585106,FedNova
0.3,21,Client_2,0.0010604584854889008,14451,0.03518654406070709,0.022551845759153366,0.06474350392818451,FedNova
0.3,21,Client_3,0.0010068395573862498,27939,0.03306731954216957,0.021647537127137184,0.05449914187192917,FedNova
0.3,22,Client_3,0.001041400888875899,27939,0.03515293076634407,0.02250690385699272,0.06468165665864944,FedNova
0.3,22,Client_1,0.0010983376472855518,22407,0.03895433619618416,0.023524142801761627,0.05600413307547569,FedNova
0.3,22,Client_2,0.001082664709345823,14451,0.03303223103284836,0.02160622924566269,0.054441310465335846,FedNova
0.3,23,Client_1,0.0010852232783641724,22407,0.03511491417884827,0.02245411090552807,0.06461170315742493,FedNova
0.3,23,Client_3,0.0010306611783517012,27939,0.038906875997781754,0.023470520973205566,0.055935900658369064,FedNova
0.3,23,Client_2,0.0011239964583075349,14451,0.0329924114048481,0.021557480096817017,0.05437568575143814,FedNova
0.3,24,Client_1,0.0011259914343879139,22407,0.03886943683028221,0.023431723937392235,0.05588207393884659,FedNova
0.3,24,Client_2,0.001131779168003173,14451,0.03296177089214325,0.021522726863622665,0.05432518571615219,FedNova
0.3,24,Client_3,0.0010367532883150253,27939,0.03508630022406578,0.022416487336158752,0.06455905735492706,FedNova
0.3,25,Client_3,0.0010218378457073033,27939,0.035050228238105774,0.022363120689988136,0.06449268013238907,FedNova
0.3,25,Client_2,0.0011286988882164995,14451,0.032922517508268356,0.021469948813319206,0.0542604885995388,FedNova
0.3,25,Client_1,0.0011023921636496687,22407,0.03882693871855736,0.02337680570781231,0.055820975452661514,FedNova
0.3,26,Client_3,0.0010471141411830588,27939,0.035017531365156174,0.022317731752991676,0.06443251669406891,FedNova
0.3,26,Client_1,0.0011163035203588993,22407,0.03878610581159592,0.023330215364694595,0.05576226860284805,FedNova
0.3,26,Client_2,0.001115178455103315,14451,0.03288782015442848,0.021427318453788757,0.05420330539345741,FedNova
0.3,27,Client_1,0.0011212059323655735,22407,0.03498847037553787,0.022277792915701866,0.06437905132770538,FedNova
0.3,27,Client_2,0.0011072586265710022,14451,0.032857075333595276,0.021389523521065712,0.054152633994817734,FedNova
0.3,27,Client_3,0.0010380475805825667,27939,0.03874955326318741,0.023288950324058533,0.05570971965789795,FedNova
0.3,28,Client_3,0.0010496212950380677,27939,0.038710396736860275,0.023242415860295296,0.05565342307090759,FedNova
0.3,28,Client_2,0.001133903500738383,14451,0.032823435962200165,0.021346380934119225,0.054097190499305725,FedNova
0.3,28,Client_1,0.001110915814355014,22407,0.03495655208826065,0.022232720628380775,0.06432031840085983,FedNova
0.3,29,Client_1,0.0011101970872868098,22407,0.038671817630529404,0.023198677226901054,0.05559795722365379,FedNova
0.3,29,Client_2,0.0011134432636694235,14451,0.0349259115755558,0.022190630435943604,0.06426393985748291,FedNova
0.3,29,Client_3,0.0010443593789324437,27939,0.0327911302447319,0.021306348964571953,0.05404394865036011,FedNova
0.3,30,Client_1,0.0010835813846473805,22407,0.03863668069243431,0.023159340023994446,0.05554744228720665,FedNova
