Split,Client,Loss,Variance,Divergence,R_k,Alpha,RMSE,MAE
0.05,Client_3,0.002107039576465465,0.01696676015853882,0.9920850983785975,0.004405912663523276,0.045348550358066224,0.04904396831989288,0.026278581470251083
0.05,Client_2,0.0019458847307276342,0.017055420204997063,0.16623130249226098,0.0411341808843955,0.003485373897232691,0.05086461082100868,0.02987482026219368
0.05,Client_1,0.0023825587158539845,0.01482540462166071,0.2045424769368915,13.85090631485321,0.9511660657447011,0.05418526753783226,0.02728886902332306
0.05,Client_3,0.002090125043565079,0.015099694021046162,0.9864504940946233,198.76708181891107,0.9964951972068342,0.048920318484306335,0.026186801493167877
0.05,Client_2,0.002076650456200247,0.01761634834110737,0.1456696013212127,0.19434440170553055,0.0015965566975328642,0.05435195192694664,0.02728351764380932
0.05,Client_1,0.0021688499456233848,0.01807897351682186,0.24834250122132062,0.00043082020023457734,0.001908236095633047,0.0511273592710495,0.030082043260335922
0.05,Client_3,0.002069910329353341,0.014765514992177486,0.8839823611950974,22.89165538939288,0.8886072315009677,0.05413541942834854,0.027054598554968834
0.05,Client_2,0.001969245162197172,0.017921285703778267,0.160413879187882,0.041133639781994774,0.002182058625617338,0.051023177802562714,0.030015505850315094
0.05,Client_1,0.0021432751824099804,0.015235350467264652,0.20424068983956786,2.9119166122286506,0.10921069987341503,0.048548053950071335,0.02596106380224228
0.05,Client_3,0.0020587561354123186,0.014295305125415325,0.7876016138083695,2.784045981255463,0.9674998624765035,0.04818764328956604,0.0257718563079834
0.05,Client_1,0.0020327227826749694,0.01650233566761017,0.22456707217256466,0.049190549021743545,0.018204749031489827,0.05393598973751068,0.02687237411737442
0.05,Client_2,0.002014153177476158,0.017038147896528244,0.12605312866734306,0.04113383601096856,0.01429537849200679,0.050897035747766495,0.029937779530882835
0.05,Client_1,0.0020191798167639224,0.01713288202881813,0.21659101224333924,11.089030357409817,0.950142404408818,0.04733580723404884,0.025342436507344246
0.05,Client_2,0.001953813551891222,0.018278682604432106,0.1292538788310749,0.04113592632393662,0.004183860558384001,0.04976418986916542,0.029272176325321198
0.05,Client_3,0.0020229417470286936,0.01781335100531578,0.7299131217653875,0.007333894556691645,0.045673725032798165,0.05304994806647301,0.02660715952515602
0.05,Client_1,0.002025676929286374,0.015894724056124687,0.17975578198142128,18.534104625403454,0.6622129622406416,0.05288662761449814,0.026518525555729866
0.05,Client_2,0.002050017776093115,0.0189560204744339,0.10874773993238873,0.00027772229987606934,0.0006761726617028138,0.04711797088384628,0.02522796392440796
0.05,Client_3,0.0020447626491486835,0.013554256409406662,0.6928908315726783,8.19793109907741,0.33711085509765565,0.049606405198574066,0.029170077294111252
0.05,Client_3,0.00203018398398913,0.01848132163286209,0.6661698257315808,0.0018564342103048533,0.04519512764418565,0.051914215087890625,0.026265742257237434
0.05,Client_1,0.0020509692581498306,0.01694977469742298,0.16792804143769974,11.86033144226755,0.950847432510349,0.04621852561831474,0.02480354905128479
0.05,Client_2,0.001816096640440222,0.018924793228507042,0.12610562090136318,0.04113441903739266,0.00395742984546535,0.048410627990961075,0.028440626338124275
0.05,Client_3,0.0020572136338616715,0.015516320243477821,0.6527618782455782,2.7941758801492957,0.9418404441298965,0.04608837515115738,0.02472790516912937
0.05,Client_2,0.0018048567868617243,0.017921652644872665,0.11236643623517258,0.17266771006508042,0.05608417150016215,0.04849408194422722,0.028482025489211082
0.05,Client_1,0.0020574437365155442,0.01832449808716774,0.15650359230645236,0.0005271846471980882,0.0020753743699413606,0.05190468207001686,0.02624005824327469
0.05,Client_1,0.002052020806132913,0.016530293971300125,0.12800123101004512,14.411678704057529,0.934444144083263,0.05153793469071388,0.02618935890495777
0.05,Client_2,0.0019983846487649525,0.01876082643866539,0.10827400979967898,0.3029725171563504,0.02027075206947171,0.04575132578611374,0.02454584464430809
0.05,Client_3,0.002015831258212721,0.019317351281642914,0.6191349375029819,0.003685822698863441,0.04528509384726524,0.048032719641923904,0.028256883844733238
